	Name	BeamID	E	N	U
120	120	0	-37.56980829042732	-31.806457448285073	0
121	121	0	-37.30281683834619	-23.310651685576886	0
122	122	0	-37.035825386148645	-14.814845921937376	0
123	123	0	-36.76883393400931	-6.319040159229189	0
124	124	0	-36.501842481811764	2.1767656044103205	0
125	125	0	-36.23485102967243	10.672571367118508	0
126	126	0	-35.83436385143432	23.41628001211211	0
127	127	0	-35.567372399236774	31.912085774820298	0
128	128	0	-35.30038094709744	40.40789153845981	0
129	129	0	-35.0333894949581	48.903697301167995	0
130	130	0	-34.76639804276056	57.39950306387618	0
131	131	0	-34.49940659062122	65.89530882751569	0
132	132	0	-34.232415138423676	74.39111459022388	0
133	133	0	-33.96542368628434	82.88692035386339	0
134	134	0	-33.69843223402859	91.38272611657158	0
135	135	0	-33.43144078194746	99.87853188021109	0
136	136	0	-33.40884857749916	-99.97079133568332	0
137	137	0	-33.14185712535982	-91.4749855720438	0
138	138	0	-32.874865673162276	-82.97917980933562	0
139	139	0	-32.60787422102294	-74.48337404569611	0
140	140	0	-32.340882768825395	-65.98756828298792	0
141	141	0	-32.07389131668606	-57.491762520279735	0
142	142	0	-31.806899864430306	-48.995956756640226	0
143	143	0	-31.539908412349178	-40.50015099393204	0
144	144	0	-31.27291696020984	-32.00434523029253	0
145	145	0	-31.005925508012297	-23.50853946758434	0
146	146	0	-30.73893405587296	-15.012733703944832	0
147	147	0	-30.471942603675416	-6.516927941236645	0
148	148	0	-30.20495115153608	1.9788778214715421	0
149	149	0	-29.937959699338535	10.474683585111052	0
150	150	0	-29.537472521100426	23.218392229173332	0
151	151	0	-29.27048106896109	31.714197992812842	0
152	152	0	-29.003489616763545	40.21000375552103	0
153	153	0	-28.73649816462421	48.70580951916054	0
154	154	0	-28.469506712426664	57.201615281868726	0
155	155	0	-28.202515260287328	65.69742104550824	0
156	156	0	-27.93552380814799	74.19322680821642	0
157	157	0	-27.668532355950447	82.68903257185593	0
158	158	0	-27.40154090381111	91.18483833456412	0
159	159	0	-27.134549451613566	99.68064409820363	0
160	160	0	-26.86755799947423	108.17644986091182	0
161	161	0	-24.230503034224967	-108.76342877140269	0
162	162	0	-23.963511582027422	-100.2676230086945	0
163	163	0	-23.696520129888086	-91.77181724598631	0
164	164	0	-23.429528677632334	-83.2760114823468	0
165	165	0	-23.162537225551205	-74.78020571963862	0
166	166	0	-22.895545773411868	-66.2843999559991	0
167	167	0	-22.628554321214324	-57.78859419329092	0
168	168	0	-22.361562869074987	-49.29278842965141	0
169	169	0	-22.094571416877443	-40.79698266694322	0
170	170	0	-21.827579964738106	-32.301176904235035	0
171	171	0	-21.560588512540562	-23.805371140595526	0
172	172	0	-21.293597060401225	-15.309565377887338	0
173	173	0	-21.02660560826189	-6.813759614247829	0
174	174	0	-20.759614156064345	1.6820461484603584	0
175	175	0	-20.492622703925008	10.177851912099868	0
176	176	0	-20.09213552562869	22.92156055616215	0
177	177	0	-19.825144073489355	31.41736631980166	0
178	178	0	-19.55815262135002	39.913172082509845	0
179	179	0	-19.291161169152474	48.40897784521803	0
180	180	0	-19.024169717013137	56.90478360885754	0
181	181	0	-18.757178264815593	65.40058937156573	0
182	182	0	-18.490186812676257	73.89639513520524	0
183	183	0	-18.22319536053692	82.39220089791343	0
184	184	0	-17.956203908339376	90.88800666155294	0
185	185	0	-17.68921245620004	99.38381242426112	0
186	186	0	-17.422221004002495	107.87961818696931	0
187	187	0	-17.933611703891074	-108.96131655434147	0
188	188	0	-17.666620251751738	-100.46551078977063	0
189	189	0	-17.399628799554193	-91.96970502799377	0
190	190	0	-17.132637347414857	-83.47389926435426	0
191	191	0	-16.865645895217312	-74.97809350164607	0
192	192	0	-16.598654443077976	-66.48228773893788	0
193	193	0	-16.33166299093864	-57.986481975298375	0
194	194	0	-16.064671538741095	-49.49067621259019	0
195	195	0	-15.797680086601758	-40.99487044895068	0
196	196	0	-15.530688634404214	-32.49906468624249	0
197	197	0	-15.263697182264877	-24.00325892260298	0
198	198	0	-14.996705730067333	-15.507453159894794	0
199	199	0	-14.729714277927997	-7.011647397186607	0
200	200	0	-14.46272282578866	1.4841583664529026	0
201	201	0	-14.195731373591116	9.97996412916109	0
202	202	0	-13.795244195353007	22.723672774154693	0
203	203	0	-13.52825274321367	31.21947853686288	0
204	204	0	-13.261261291016126	39.71528430050239	0
205	205	0	-12.99426983887679	48.21109006321058	0
206	206	0	-12.727278386679245	56.70689582685009	0
207	207	0	-12.460286934539909	65.20270158955827	0
208	208	0	-12.193295482400572	73.69850735319778	0
